CdStationMesureEauxSurface;LbStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;NomEntiteHydrographique;TypeCEStationMesureEauxSurface
02093170;LA BIBICHE À VALMESTROFF;935987.0;6922689.99;Ruisseau la Bibiche;
02093180;LA KIESEL À HETTANGE-GRANDE (AMONT);928014.0;6930330.99;Ruisseau la Kiesel;
02093185;LE REYBACH À HETTANGE-GRANDE;927907.0;6927904.99;Ruisseau le Reybach;
02093197;LA KIESEL À HETTANGE-GRANDE (AMONT STEP);929390.0;6926671.99;Ruisseau la Kiesel;
02093200;LA KIESEL À THIONVILLE (ENCLAVE DE GARCHE);931338.0;6925784.99;Ruisseau la Kiesel;
02093250;LA KIESEL À CATTENOM;934782.0;6926107.99;Ruisseau la Kiesel;
02093300;LA MOSELLE À KOENIGSMACKER;936455.0;6927660.99;La Moselle;
02093500;LA CANNER À VIGY;941752.0;6906689.99;Ruisseau le Canner;
02093510;LE RUISSEAU DE LA FEMME MORTE À SAINT-HUBERT;944037.0;6908223.99;;
02093515;LE RUISSEAU DE ST-HUBERT À SAINT-HUBERT;943225.0;6906586.99;Ruisseau de St-Hubert;
02093550;LA CANNER À ABONCOURT;943185.0;6910684.99;Ruisseau le Canner;
02093590;LE KATZENBACH À HOMBOURG-BUDANGE;944419.0;6913371.99;Ruisseau le Katzenbach;
02093600;LA CANNER À HOMBOURG-BUDANGE;943117.0;6913928.99;Ruisseau le Canner;
02093650;LA CANNER À KEDANGE-SUR-CANNER;942000.0;6918115.99;Ruisseau le Canner;
02093700;LE REIMERS À BUDING;941831.0;6918816.99;Ruisseau le Reimers;
02093775;LA CANNER À BUDING;941166.0;6919971.99;Ruisseau le Canner;
02093850;LE BISBACH À INGLANGE;941575.0;6921017.99;Ruisseau le Bisbach;
02093925;LA CANNER À ELZANGE;938894.0;6923039.99;Ruisseau le Canner;
02094000;LA CANNER À KOENIGSMACKER;937566.0;6926288.99;Ruisseau le Canner;
02094005;LA CANNER À KOENIGSMACKER (AVAL);937879.0;6927046.99;Ruisseau le Canner;
02094100;LA MOSELLE À CATTENOM;937793.0;6927402.99;La Moselle;
02094180;LE RUISSEAU DE BOLER À ROUSSY-LE-VILLAGE;929562.0;6933997.99;Ruisseau de Boler;
02094220;LA BOLER À ROUSSY-LE-VILLAGE;932153.0;6932462.99;Ruisseau de Boler;
02094260;LE RUISSEAU DE BOLER À BREISTROFF-LA-GRANDE;934499.0;6932088.99;Ruisseau de Boler;
02094335;LE RUISSEAU D'HIMELING À PUTTELANGE-LES-THIONVILLE;933914.0;6937603.99;Ruisseau d'Himeling;
02094340;LE RUISSEAU DE BEYREN À PUTTELANGE-LES-THIONVILLE;935552.0;6936578.99;Ruisseau de Beyren;
02094420;LE RUISSEAU DE BEYREN À BEYREN-LES-SIERCK;938710.0;6933839.99;Ruisseau de Beyren;
02094500;LA BOLER À GAVISSE;938260.0;6930964.99;Ruisseau de Boler;
02094550;LE RUISSEAU D'OUDRENNE À OUDRENNE (MAISON FORESTIERE);944734.0;6923576.99;Ruisseau d'Oudrenne;
02094555;LE RUISSEAU D'OUDRENNE À OUDRENNE;942920.0;6924229.99;Ruisseau d'Oudrenne;
02094700;LE RUISSEAU D'OUDRENNE À KOENIGSMACKER;940311.0;6927138.99;Ruisseau d'Oudrenne;
02094720;LE RUISSEAU D'OUDRENNE À MALLING (PETITE-HETTANGE);939522.0;6928301.99;Ruisseau d'Oudrenne;
02094725;LE RUISSEAU D'OUDRENNE À MALLING;939539.0;6929729.99;Ruisseau d'Oudrenne;
02094800;LE RUISSEAU D'ALTBACH À BEYREN-LES-SIERCK;939631.0;6935128.99;Ruisseau l'Altbach;
02094900;LA MOSELLE À SIERCK;942704.0;6932882.99;La Moselle;
02094902;LE RUISSEAU DE LANGEGRETE À KERLING-LÈS-SIERCK;947460.0;6925932.99;;
02094904;LE RUISSEAU DE MONTENACH À KIRSCHNAUMEN;949682.0;6928130.99;Ruisseau de Montenach;
02094907;LE RUISSEAU DE MONTENACH À MONTENACH;945757.0;6929326.99;Ruisseau de Montenach;
02094913;LE MORTZBACH À MONTENACH;945514.0;6930215.99;Ruisseau le Mortzbach;
02094915;LE HOELLENBACH À KERLING-LES-SIERCK;945053.0;6927359.99;Ruisseau le Hoellenbach;
02094917;LE RUISSEAU DE MONTENACH À SIERCK-LES-BAINS;943694.0;6931968.99;Ruisseau de Montenach;
02094920;LE RUISSEAU D'APACH À APACH;945602.0;6934071.99;Ruisseau d'Apach;
02094930;LE RUISSEAU DES QUATRE MOULINS À VOLMERANGE;923221.0;6932696.99;Ruisseau de Volmerange;
02094940;LE KAELBACH À OTTANGE (AVAL);919349.0;6931515.99;Ruisseau Kaelbach;
02094950;L'ALZETTE À AUDUN-LE-TICHE;914957.0;6935815.99;L'Alzette;
