CdStationMesureEauxSurface;LbStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;NomEntiteHydrographique;TypeCEStationMesureEauxSurface
01000173;L'AVRE à MOREUIL (80);660859.749;6966068.22;Avre;
01000217;LA CANCHE à BRIMEUX (62);616838.279;7039571.89;La Canche;
01000238;SELLE/SOMME à AMIENS (80);648120.039;6978618.92;Selle ou Somme;
01000274;LA SENSÉE À ETAING (62);699757.79;7020087.95;Sensée;
01000290;LE BLEQUIN À AFFRINGUES (62);634622.439;7066304.92;Blequin;
01000390;PÂTURE AUX BOEUFS (RUISSEAU DE LA) ET CHÊNEAU (RUISSEAU DU) ;778061.24;7004855.5;Ruisseau de la Patûre aux Boeufs;
01000477;LA SLACK À RINXENT (62);610228.779;7078879.89;Slack;
01000490;LA SOMME RIVIÈRE À FONTAINE LES CLERCS (02);716581.89;6967664.77;;
01000509;MARQUE à SAINGHIN EN MELANTOIS (59);713322.1;7054929.55;Marque;
01000538;TERNOISE à ANVIN (62);647181.979;7039113.16;Ternoise;
01000592;LE CANAL DE ST-QUENTIN VERS LA SOMME CANALISEE à GAUCHY (02);718664.15;6969948.18;Canal de St-Quentin Vers la Somme Canalisée;
01000593;LA SOMME RIVIERE à SAINT QUENTIN (02);720232.03;6970795.26;;
01000594;LA SOMME RIVIERE à TUGNY ET PONT (02);711418.11;6962126.03;;
01000596;LA SOMME RIVIERE à ARTEMPS (02);713560.95;6963368.0;;
01000600;LA SOMME RIVIERE à DURY (02);710100.77;6960296.22;;
01000602;COLOGNE à BUIRE COURCELLES (80);700318.4;6980033.59;Cologne;
01000604;L'OMIGNON à VERMAND (02);710791.29;6974922.96;Omignon;
01000605;L'OMIGNON À DEVISE (80);700279.85;6973284.25;Omignon;
01000729;LA HEM À TOURNEHEM-SUR-LA-HEM (62);631465.909;7078646.24;Tiret;
01000827;SCARPE RIVIÈRE à MONT SAINT ELOI (62);677943.739;7026644.04;Rivière Scarpe;
01000864;LE CANAL DE ST-QUENTIN VERS LA SOMME CANALISEE à ARTEMPS (02;712058.41;6962100.31;Canal de St-Quentin Vers la Somme Canalisée;
01000947;AVRE à DAVENESCOURT (80);671047.649;6956603.63;Avre;
01000955;LES TROIS DOMS à AYENCOURT (80);668196.399;6947341.12;Trois Doms;
01000975;L'ANCRE à THIEPVAL (80);676242.589;6996286.77;Ancre;
01000976;ANCRE à DERNANCOURT (80);673126.059;6985788.74;Ancre;
01000990;NIEVRE à BERTEAUCOURT LES DAMES (80);638742.689;6994564.03;Nièvre;
01001000;LA SAMBRE CANALISÉE À LOCQUIGNOL (59);751470.47;7004903.05;La Sambre Canalisée;
01001102;LA SOMME RIVIERE à VOYENNES (80);699146.33;6964216.26;;
01001103;LA SOMME RIVIERE à BETHENCOURT SUR SOMME (80);697672.939;6966250.95;;
01001112;LA SOMME CANALISEE à BOISMONT (80);606174.439;7007707.21;La Somme Canalisée;
01001122;L'HELPE MAJEURE À EPPE SAUVAGE (59);784224.69;7002720.07;Helpe Majeure;
01001123;L'HELPE MAJEURE À WILLIES (59);778649.36;7002859.64;Helpe Majeure;
01001128;L'HELPE MINEURE À ETROEUNGT (59);766583.49;6996224.33;Helpe Mineure;
01001131;HELPE MINEURE à GRAND FAYT (59);757716.99;7002035.11;Helpe Mineure;
01001133;LE RUISSEAU DU PONT DE SAINS À ETROEUNGT (59);769919.37;6995443.5;Ruisseau du Pont de Sains;
01001137;LA SOLRE à SOLRINNES (59);776206.81;7012414.45;Solre;
01001148;LE COURANT DE BERNISSART À CONDÉ SUR ESCAUT (59);744318.03;7040518.57;Courant de Bernissart;
01001185;CANCHE à AUBROMETZ (62);641541.889;7023281.97;La Canche;
01001192;TERNOISE à MONCHY CAYEUX (62);649424.489;7037206.47;Ternoise;
01001225;LA MARQUE À TOURMIGNIES (59);706057.04;7045452.09;Marque;
01001269;LA RHONELLE À VILLEREAU (59);750718.03;7015966.42;Rhonelle;
01001283;L'ÉCAILLON À BEAUDIGNIES (59);742288.59;7015960.86;écaillon;
01001322;L'AMBOISE À ST VALERY SUR SOMME;603413.559;7009084.82;Amboise;
01001336;L'HOGNEAU À GUSSIGNIES (59);752609.33;7026734.15;Hogneau;
01001408;TRIE à CAHON (80);609447.419;7004148.96;Trie;
01001438;LA RIVIÈRETTE À PRISCHES (59);755341.64;6997441.83;Rivièrette ou Sambre;
01001445;LA TARSY À LEVAL (59);759358.69;7009320.5;Tarsy;
01001452;LE CLIGNEUX À SAINT RÉMY DU NORD (59);763864.73;7016039.24;Cligneux;
01001503;LA HANTE À BOUSIGNIES SUR ROC (59);784516.03;7019613.72;Hante;
01001618;L'ERCLIN À ST AUBERT (59);729421.43;7012827.68;Erclin;
01001619;BLEQUIN à NIELLES LES BLEQUIN (62);633122.359;7065385.69;Blequin;
01001785;LA SOUCHEZ À SOUCHEZ (62);681840.579;7032836.08;Souchez;
01001935;LA LIETTE À NORTKERQUE (62);632563.319;7088456.79;Liette;
01001939;LA SELLE A CONTY (80);638940.259;6961892.08;Selle ou Somme;
01001949;L'ETANG DU ROMELAËRE A NIEURLET (59);649755.769;7076275.89;etang de romelaere;
01002000;LA SAMBRE CANALISÉE À PONT-SUR-SAMBRE (59);760804.93;7014666.97;La Sambre Canalisée;
01002021;LE LAC DU VAL JOLY à EPPE SAUVAGE (59);781175.39;7002440.41;lac du val joly;
01002022;LA MARE À GORIAUX à RAISMES (59);730889.52;7033147.45;mare a goriaux;
01002023;L'ÉTANG DU VIGNOBLE à VALENCIENNES (59);735601.79;7027522.11;etang du vignoble;
01002024;L'ÉTANG D'ARDRES A ARDRES (62);627865.909;7085897.11;etang d'ardres;
01002028;L'AVRE à ROIGLISE (80);687572.369;6953640.59;Avre;
01002033;LA NIÈVRE à CANAPLES (80);644150.209;6994786.94;Nièvre;
01002066;LA SOMME FLEUVE A CASTRES (02);717542.75;6968203.69;;
01002067;LA SOMME FLEUVE A PHITON (02);707094.5;6961250.98;;
01002088;LA SOMME FLEUVE A LONG (80);628211.649;6992630.36;La Somme Canalisée;
01002100;LA FLAMENNE À MAUBEUGE (59);766728.45;7019141.98;Flamenne;
01002111;PÂTURE AUX BOEUFS (RUISSEAU DE LA) ET CHÊNEAU (RUISSEAU DU) ;777953.21;7004257.71;Ruisseau de la Patûre aux Boeufs;
01002112;LE CANAL DE MARCK À MARCK (62);626480.249;7095900.43;Canal de Marck;
01002113;LE NOOR GRACHT A GRANDE SYNTHE (59);650327.449;7100615.89;Noortgracht Ouest de Grande Synthe;
01002114;LE NOORD GRACHT A DUNKERQUE (59);652960.379;7101943.23;Noortgracht Est;
01002121;COMPAGNIE GENERALE DES EAUX A CARLY (62);608080.919;7063052.65;La Liane;
01002122;USINE DE TRAITEMENT DE L EAU A AIRE SUR LA LYS (62);654308.149;7060280.74;La Lys;
01002140;LE COURANT A POISSONS A CAYEUX SUR MER (80);596960.199;7012843.96;Hable d'Ault;
01002141;LE DIEN A NOYELLES SUR MER (80);607052.349;7010534.19;Rivière du Dien;
01002142;LA SELLE A DOUCHY LES MINES (59);727544.64;7024294.4;Selle ou Escaut;
01002207;L'AUNELLE A SEBOURG (59);746379.59;7027557.25;Aunelle;
01002215;LA SELLE A NEUVILLY (59);736346.03;7004909.65;Selle ou Escaut;
01002222;LA RIVIERETTE A LE FAVRIL (59);751388.22;7000538.77;Rivièrette ou Sambre;
01002224;LA TARSY A SAINT REMY EN CHAUSSEE (59);762582.22;7008444.04;Tarsy;
01002225;LA THURE A COUSOLRE (59);781880.94;7015163.95;Thure;
01002226;LA TROUILLE A VILLERS SIRE NICOLE (59);772564.16;7026813.52;Trouille;
01002227;LE GY A DUISANS (62);678319.379;7023725.85;Le Gy;
01002228;LA TERNOISE A TILLY CAPELLE (62);643884.919;7038971.85;Ternoise;
01002229;LE WIMEREUX A MANINGHEN-HENNE (62);606479.219;7074174.9;Wimereux;
01002230;L'HALLUE A QUERRIEU (80);659361.799;6982003.0;Rivière d'Hallue;
01002231;L'AUTHIE A HEM HARDINVAL (80);649838.169;7007492.14;Authie;
01002232;LA RIVIERE DES ILES A PONTHOILE (80);606129.869;7013142.18;rivière des îles;
01002237;HEM ET MEULESTROM A TOURNEHEM SUR LA HEM (62);633578.789;7079859.78;Tiret;
01002269;HEM ET MEULESTROM A TOURNEHEM SUR LA HEM (62);633411.659;7079769.51;Tiret;
01002270;HEM ET MEULESTROM A TOURNEHEM SUR LA HEM (62);632938.539;7079516.26;Tiret;
01003000;LA SAMBRE CANALISÉE À ASSEVENT (59);772438.29;7021127.12;La Sambre Canalisée;
01004000;LA SAMBRE CANALISÉE À JEUMONT (59);778632.96;7022775.66;La Sambre Canalisée;
01005000;L'HELPE MINEURE À ROCQUIGNY (02);770594.64;6992133.58;Helpe Mineure;
01005500;L'HELPE MAJEURE À SEMERIES (59);771653.92;7002785.57;Helpe Majeure;
01006000;L'HELPE MINEURE À MAROILLES (59);752810.56;7005197.41;Helpe Mineure;
01007000;L'HELPE MAJEURE À SAINT HILAIRE SUR HELPE (59);764482.52;7003731.03;Helpe Majeure;
01008000;L'HELPE MAJEURE À TAISNIÈRES-EN-THIÉRACHE (59);758423.86;7005913.75;Helpe Majeure;
01009000;LA SOLRE À FERRIÈRE LA PETITE (59);772711.61;7016217.24;Solre;
01009100;LA RIVIÈRETTE À LANDRECIES (59);749163.34;7002179.8;Rivièrette ou Sambre;
01009300;LA SAMBRE RIVIÈRE À BERGUES SUR SAMBRE (02);750400.39;6993196.93;Rivière Sambre;
01009600;LA TROUILLE À VILLERS SIRE NICOLE (59);773155.3;7028041.71;Trouille;
01009700;LA THURE À BERSILLIES L'ABBAYE (BELGIQUE);782001.26;7018719.04;Thure;
01010000;L'ESCAUT RIVIÈRE À CRÉVECOEUR SUR ESCAUT (59);717731.08;7000717.63;Rivière Escaut;
01011000;L'ESCAUT RIVIÈRE À CANTAING-PROVILLE (59);713426.49;7006219.7;Rivière Escaut;
01012000;L'ESCAUT CANALISÉ À ESWARS (59);719635.61;7013172.18;L'Escaut Canalisée;
01013000;L'ESCAUT CANALISÉ À NEUVILLE SUR ESCAUT (59);724964.26;7022755.86;L'Escaut Canalisée;
01014000;L'ESCAUT CANALISÉ À MAING (59);734319.0;7024596.1;L'Escaut Canalisée;
01015000;L'ESCAUT CANALISÉ À VALENCIENNES (59);736326.64;7028349.72;L'Escaut Canalisée;
01016000;L'ESCAUT CANALISÉ À FRESNES SUR ESCAUT (59);741352.88;7036644.6;L'Escaut Canalisée;
01017000;L'ESCAUT CANALISÉ À VIEUX-CONDÉ (59);740145.77;7039633.43;L'Escaut Canalisée;
01017100;LE JARD À CONDÉ SUR ESCAUT (59);742413.59;7039676.55;Jard;
01017300;LE JARD À VIEUX-CONDÉ (59);739155.9;7040467.5;Jard;
01018000;L'ESCAUT CANALISÉ À MORTAGNE DU NORD (59);732129.0;7044905.97;L'Escaut Canalisée;
01019000;L'ESCAUT CANALISÉ À BLÉHARIES (BELGIQUE);730042.82;7046599.11;L'Escaut Canalisée;
01021000;LE CANAL DE SAINT QUENTIN À CANTAING SUR ESCAUT(59);713222.25;7006268.87;Canal de St-Quentin Vers l'Escaut Canalisée;
01022000;LE TORRENT D'ESNES À CRÉVECOEUR SUR ESCAUT (59);718020.02;7000561.21;Torrent d'Esnes;
01023000;L'ERCLIN À IWUY (59);722016.19;7015277.75;Erclin;
01024000;LA SENSÉE RIVIÈRE À BOUCHAIN (59);722297.18;7020394.97;Rivière Sensée;
01025000;LA SELLE À MONTAY (59);738812.27;7002574.74;Selle ou Escaut;
01026000;LA SELLE À SAINT PYTHON (59);734496.79;7010337.98;Selle ou Escaut;
01027000;LA SELLE À NOYELLES SUR SELLE (59);727843.91;7021023.04;Selle ou Escaut;
01028000;L'ÉCAILLON À VERCHAIN MAUGRE (59);733378.19;7019274.83;écaillon;
01029000;LA RHONELLE À MARESCHES (59);740360.3;7021756.56;Rhonelle;
01030500;LE CANAL DE MONS À SAINT AYBERT (59);746436.71;7039369.97;Canal de Mons de la Frontière Belge au Confluent de l'Escaut Canalisé;
01032000;L'HOGNEAU À THIVENCELLE (59);745107.69;7038164.65;Hogneau;
01033000;LE JARD CANALISÉ À HERGNIES (59);736368.71;7042201.26;Jard;
01034000;LA VERGNE NOIRE À FLINES LES MORTAGNE (59);735414.65;7043155.64;Vergne;
01035000;LA SCARPE RIVIÈRE À STE CATHERINE LES ARRAS (62);683153.239;7022712.88;Rivière Scarpe;
01035100;LA SCARPE RIVIÈRE À ACQ (62);675150.129;7027627.63;Rivière Scarpe;
01035300;LE CRINCHON À AGNY (62);682629.829;7018274.07;Crinchon;
01036000;LA SCARPE CANALISÉE À FAMPOUX (62);690647.809;7022427.02;Bras de Décharge Amont Rg Ecl 31 Fampoux de Scarpe Canalisée à Vanne Bras de Charge;
01037000;LA SCARPE CANALISÉE À BREBIÈRES (62);701544.79;7026434.17;La Scarpe Canalisée;
01038000;LA SCARPE CANALISÉE À COURCHELETTES (59);704327.87;7027351.07;La Scarpe Canalisée;
01038100;LA SCARPE CANALISÉE À DOUAI (59);705398.47;7029964.94;La Scarpe Canalisée;
01039000;LA SCARPE CANALISÉE À RACHES (59);709501.76;7034788.93;La Scarpe Canalisée;
01040000;LA SCARPE CANALISÉE À MARCHIENNES (59);719701.08;7034230.01;La Scarpe Canalisée;
01041000;LA SCARPE CANALISÉE À NIVELLE (59);733138.69;7041513.96;La Scarpe Canalisée;
01042000;LE CANAL DU NORD À OISY LE VERGER (62);707088.36;7016802.33;;
01043000;LA SENSÉE RIVIÈRE À ARLEUX (59);707161.35;7019385.31;Sensée;
01044000;LA SENSÉE (CANAL MALDERREZ) À PALLUEL (62);707143.95;7019009.66;Canal Malderrez;
01045000;LA MARCHE NAVIRE À TORTEQUESNE (62);703081.07;7020573.39;Sensée;
01046000;LA SENSÉE CANALISÉE À FÉRIN (59);705152.65;7024960.7;Canal de la Sensée;
01047000;LA GRANDE TRAITOIRE À NIVELLE (59);733180.91;7041492.04;Grande Traitoire;
01048800;LE COURANT DE L'HOPITAL À MILLONFOSSE (59);728353.35;7037331.6;Courant de l'Hopital;
01049000;LE DÉCOURS À NIVELLE (59);732452.02;7041716.65;Courant de l'Hopital;
01050000;LE CANAL DE ROUBAIX À LEERS (59);716720.54;7065878.48;L'Espierre;
01051000;L'ESPIERRE À WATTRELOS (59);717877.39;7066181.16;Rivière Espierre;
01052000;LA LYS RIVIÈRE À LUGY (62);641315.349;7047561.74;La Lys;
01053000;LA LYS RIVIÈRE À DELETTES (62);644142.399;7058231.1;La Lys;
01054000;LA LYS CANALISÉE  À MERVILLE (59);674152.089;7060234.22;La Lys;
01054100;LA LYS CANALISÉE À MERVILLE (59);675202.079;7060161.79;La Lys;
01055000;LA LYS CANALISÉE À ESTAIRES (59);681246.339;7060715.82;La Lys;
01055500;LA LAWE À LESTREM (62);677706.409;7058565.56;La Lawe;
01056000;LA LYS CANALISÉE À ERQUINGHEM/LYS (59);688329.649;7064492.22;La Lys;
01057000;LA LYS CANALISÉE À DEULÉMONT (59);695531.209;7070374.19;La Lys;
01058000;LA LYS CANALISÉE À WARNETON (59);696609.679;7072596.02;La Lys;
01059000;LA LYS CANALISÉE À WERVICQ (59);703042.25;7075538.64;La Lys;
01060000;LA LAQUETTE À WITTERNESSE (62);654860.049;7057286.01;Laquette;
01061000;LA MELDE DU PAS-DE-CALAIS À AIRE SUR LA LYS (62);658039.709;7061677.64;Melde du Pas-de-Calais;
01062000;LE CANAL D'AIRE À LA BASSÉE À VIOLAINES (62);683767.019;7047154.66;Canal d'Aire à la Bassée;
01063000;LE CANAL D'AIRE À LA BASSÉE À BEUVRY BÉTHUNE (62);677842.559;7048920.07;Canal d'Aire à la Bassée;
01063900;LE CANAL D'AIRE À LA BASSÉE À AIRE SUR LA LYS (62);658430.739;7060738.8;Canal d'Aire à la Bassée;
01064000;LE SURGEON À CAMBRIN (62);681893.019;7046149.98;Surgeon;
01066000;LE GUARBECQUE À SAINT VENANT (62);667583.449;7058710.04;Guarbecque;
01067000;LA RIVIÈRE DE BUSNES À SAINT VENANT (62);667886.539;7058085.99;Rivière de Busnes;
01068000;LA CLARENCE À CALONNE-RICOUART (62);662428.399;7043271.3;La Clarence;
01069000;LA CLARENCE À CHOCQUES (62);669767.889;7049100.9;La Clarence;
01070000;LA NAVE À BUSNES (62);667656.209;7052797.6;Nave;
01071000;LA LAWE À DIVION (62);666469.999;7040933.19;La Lawe;
01072000;LA LAWE À ESSARS (62);675476.239;7050371.09;La Lawe;
01073000;LA LOISNE À LA COUTURE (62);679802.959;7053974.04;Loisne Aval;
01073500;LA LOISNE AMONT À BEUVRY(62);677197.909;7046698.34;Loisne Amont;
01074000;LA BOURRE CANALISÉE À MERVILLE (59);672660.869;7062539.49;Canal d'Hazebrouck;
01075000;LA BECQUE DE STEENWERCK À STEENWERCK (59);683866.179;7063479.59;Becque de Steenwerck;
01076000;LA DEULE CANAL À FLERS-EN-ESCREBIEUX (59);705610.82;7033373.89;Canal de la Deule;
01077000;LA DEULE CANAL À COURRIÈRES (62);697640.829;7040765.26;Canal de la Deule;
01078000;LA DEULE CANAL À COURRIÈRES (62);695879.719;7041252.39;Canal de la Deule;
01079000;LA DEULE CANAL À DON (59);694366.329;7049924.0;Canal de la Deule;
01080000;LA DEULE CANAL À HAUBOURDIN (59);698720.62;7056643.22;Canal de la Deule;
01081000;LA DEULE CANAL À WAMBRECHIES (59);703766.04;7065722.77;Canal de la Deule;
01082000;LA DEULE CANAL À DEULÉMONT (59);696517.869;7069761.8;Canal de la Deule;
01083000;LE CANAL DE LENS À HARNES (62);694108.839;7038840.77;Canal de Lens;
01085000;LA MARQUE À FOREST SUR MARQUE (59);713234.3;7059177.81;Marque;
01085500;LA PETITE MARQUE À HEM (59);713514.47;7060647.53;Petite Marque;
01086000;LA MARQUE À WASQUEHAL (59);710353.86;7063127.23;Marque;
01087000;LE CANAL DE ROUBAIX À MARQUETTE LEZ LILLE (59);704688.99;7064292.58;Canal de Roubaix;
01088000;LA BECQUE DE NEUVILLE À HALLUIN (59);709973.81;7076421.6;Becque de Neuville;
01089000;L'YSER À BAMBECQUE (59);673429.609;7091629.43;Yser;
01089100;L'YSER À ESQUELBECQ (59);658351.529;7087496.94;Yser;
01090000;LA SLACK À AMBLETEUSE (62);603059.329;7079198.24;Slack;
01091000;LE WIMEREUX À WIMILLE (62);603143.649;7075025.39;Wimereux;
01091100;LE WIMEREUX À BELLE ET HOULLEFORT (62);612217.749;7073023.68;Wimereux;
01092000;LA LIANE À WIRWIGNES (62);612739.179;7065604.0;La Liane;
01092500;LA LIANE À BOULOGNE SUR MER (62);601099.259;7070265.93;La Liane;
01093000;LA CANCHE À VIEIL-HESDIN (62);635870.109;7029357.87;La Canche;
01093100;LA CANCHE À ESTRÉE-WAMIN (62);657302.729;7019596.14;La Canche;
01094000;LA CANCHE À AUBIN SAINT VAAST (62);627096.589;7034086.5;La Canche;
01094800;LA COURSE À ESTRÉE (62);613908.749;7045349.89;Course ou Canche;
01095000;LA CANCHE À BEUTIN (62);609314.239;7044381.4;La Canche;
01096000;LA TERNOISE À HERNICOURT (62);650514.899;7034514.6;Ternoise;
01097000;LA TERNOISE À AUCHY LES HESDIN (62);636106.159;7033691.99;Ternoise;
01097300;LA PLANQUETTE À CONTES (62);626411.969;7034863.19;Planquette;
01097500;LA CRÉQUOISE À LOISON SUR CREQUOISE (62);623514.779;7038404.36;Crequoise;
01098000;L'AUTHIE  À THIÈVRES (62);660914.739;7003305.61;Authie;
01099000;L'AUTHIE À OUTREBOIS (80);646608.589;7008924.78;Authie;
01100000;L'AUTHIE À DOMPIERRE SUR AUTHIE (80);622745.999;7023557.99;Authie;
01100900;L'AUTHIE  À QUEND (80);603439.699;7028232.8;Authie;
01101000;L'AA RIVIÈRE À WIZERNES (62);645313.799;7068129.87;Rivière Aa;
01101100;L'AA RIVIÈRE À VERCHOCQ (62);632400.819;7052895.59;Rivière Aa;
01101300;LE BLÉQUIN À AFFRINGUES (62);634618.179;7066301.46;Blequin;
01102000;LE CANAL DE L'AA À SAINT MOMELIN (59);647054.869;7077281.23;L'Aa Canalisée;
01103000;LE CANAL DE L'AA À RUMINGHEM (62);643675.489;7083588.6;L'Aa Canalisée;
01104000;LE CANAL DE L'AA À SAINT FOLQUIN (62);639826.939;7094601.12;L'Aa Canalisée;
01104300;LE GRAND DRACK À GRAVELINES (59);637773.589;7098844.74;Grand Drack;
01105000;LE CANAL DE NEUFFOSSÉ À ARQUES (62);651072.599;7070369.87;Canal de Neuffossé;
01106000;LE CANAL DE LA HAUTE COLME (DERIV) À CAPPELLE-BROUCK (59);647060.239;7089206.06;Canal de Lynck à Coppenaxfort;
01107000;LE CANAL DE LA BASSE COLME À HOYMILLE (59);661289.649;7098270.58;Canal de la Basse Colme;
01108000;LE CANAL DE BERGUES À CAPPELLE LA GRANDE (59);656644.189;7100919.98;;
01109000;LE CANAL DE BOURBOURG À GRANDE-SYNTHE (59);650818.159;7099322.54;Canal de Bourbourg;
01109300;LA NOUVELLE DESSERTE FLUVIALE À GRANDE-SYNTHE (59);648424.449;7103030.16;Nouvelle Désserte Fluviale;
01109500;LE CANAL DE BOURBOURG À BOURBOURG (59);643715.199;7094982.03;Canal de Bourbourg;
01110000;LE CANAL DES MÖERES À COUDEKERQUE-BRANCHE (59);657519.889;7103268.94;Canal des Moeres;
01111000;LE CANAL DE FURNES À COUDEKERQUE-BRANCHE (59);657989.539;7104435.85;;
01111500;L'EXUTOIRE DES WATERINGUES À DUNKERQUE (59);656774.939;7105651.58;Canal Exutoire des Wateringues;
01111900;LE CANAL DE MARDYCK À DUNKERQUE (59);655300.049;7103769.12;Canal de Mardyck;
01112100;LE CANAL DE CALAIS À RUMINGHEM (62);640728.229;7086297.81;Canal de Calais;
01113000;LE CANAL DE CALAIS À NOUVELLE-ÉGLISE (62);634104.859;7090096.21;Canal de Calais;
01113100;LE CANAL D'AUDRUICQ À AUDRUICQ (62);636142.089;7088308.29;Canal d'Audruicq;
01113300;LE CANAL D'ARDRES À ARDRES (62);627341.909;7088961.77;Canal d'Ardres;
01114000;LE CANAL DE CALAIS À COULOGNE (62);620337.509;7092865.83;Canal de Calais;
01114300;LE CANAL DES PIERRETTES À CALAIS (62);618212.939;7095043.44;Canal des Pierrettes;
01114500;LA RIVIÈRE D'OYE À GUEMPS (62);628908.529;7095183.49;Rivière d'Oye;
01114600;LE CANAL DE MARCK À CALAIS (62);620737.919;7097248.71;Canal de Marck;
01114700;LE FOSSÉ DES FORTIFICATIONS À CALAIS (62);620706.089;7097424.56;Canal de Marck;
01114900;LE CANAL DE GUINES À COULOGNE (62);620674.119;7091301.66;Canal de Guines;
01115000;LA HEM  À RECQUES SUR HEM (62);635535.419;7082285.54;Tiret;
01115300;LA SOMME CANALISÉE À VILLERS CARBONNEL (80);694375.209;6975301.05;La Somme Canalisée;
01116000;LA SOMME RIVIÈRE À MORCOURT (02);722814.34;6975745.99;;
01116300;LE FOSSÉ DES ALLEMAGNE À GAUCHY (02);719053.02;6969612.67;Fossé des Allemagnes;
01116500;LA SOMME RIVIÈRE À GAUCHY (02);718776.53;6969837.63;;
01117000;LA SOMME RIVIÈRE À SÉRAUCOURT-LE-GRAND (02);715256.08;6964810.7;;
01117500;LA RIVIERETTE À TUGNY ET PONT (02);711730.39;6962353.44;Rivièrette/Somme;
01118000;LA SOMME RIVIÈRE À HAM (80);705045.46;6961291.82;;
01119000;LA SOMME RIVIÈRE À OFFOY (80);700519.04;6962312.83;;
01119100;L'OMIGNON À SAINT CHRIST BRIOST (80);695250.599;6973521.83;Omignon;
01119300;LA SOMME RIVIÈRE À VILLERS CARBONNEL (80);694834.629;6975303.88;;
01119400;LA COLOGNE  À DOINGT (80);697353.509;6980489.06;Cologne;
01119500;LA SOMME RIVIÈRE À BIACHES (80);692826.659;6982088.29;;
01119700;LA COLOGNE À MARQUAIX (80);705382.99;6982478.22;Cologne;
01120000;LA SOMME RIVIÈRE À BRAY SUR SOMME (80);679750.519;6982043.56;;
01120500;L'ANCRE À ALBERT (80);674679.939;6987202.42;Ancre;
01121000;LE CANAL DE SAINT QUENTIN À LESDINS (02);722746.68;6976984.69;Canal de St-Quentin Vers la Somme Canalisée;
01121300;LA RIGOLE D'OISE ET DU NOIRRIEU À LESDINS (02);722901.86;6977465.16;Canal de St-Quentin Vers la Somme Canalisée;
01122000;LE CANAL DE SAINT QUENTIN À SERAUCOURT LE GRAND(02);714942.01;6965321.06;Canal de St-Quentin Vers la Somme Canalisée;
01123000;LE CANAL DE SAINT QUENTIN À SAINT SIMON (02);712540.52;6960328.29;Canal de St-Quentin Vers la Somme Canalisée;
01124000;LA SOMME CANALISÉE À DURY (02);710108.64;6960270.33;La Somme Canalisée;
01125000;LA SOMME CANALISÉE À OFFOY (80);700421.84;6962216.37;La Somme Canalisée;
01125700;LA SOMME CANALISÉE À CLÉRY SUR SOMME (80);691100.309;6983215.59;La Somme Canalisée;
01126000;LA SOMME CANALISÉE À CAPPY (80);682432.269;6981006.61;La Somme Canalisée;
01127000;LA SOMME CANALISÉE À CAMON (80);653299.749;6976381.39;La Somme Canalisée;
01128000;LA SOMME CANALISÉE À AILLY SUR SOMME (80);642559.479;6981474.81;La Somme Canalisée;
01129000;LA SOMME CANALISÉE À ÉPAGNE (80);619178.979;6997248.57;La Somme Canalisée;
01130000;LA SOMME CANALISÉE À CAMBRON (80);612678.729;7003373.76;La Somme Canalisée;
01131000;LE CANAL DU NORD À ROUY LE PETIT (80);695878.319;6963614.42;;
01131500;L'INGON À NESLE (80);693807.419;6961420.71;Ingon;
01132000;LE CANAL DU NORD À ALLAINES (80);695565.249;6984808.9;;
01133000;L'ANCRE  À BONNAY (80);665071.099;6981743.59;Ancre;
01133300;L'HALLUE À DAOURS (80);660347.469;6978256.92;Rivière d'Hallue;
01134000;L'AVRE À L'ÉCHELLE SAINT AURIN (80);680242.909;6955223.56;Avre;
01134500;L'AVRE À MOREUIL (80);662269.389;6963725.25;Avre;
01135000;L'AVRE À LONGUEAU (80);652828.129;6975517.5;Avre;
01136000;LES TROIS DOMS À FONTAINE/MONTDIDIER (80);665937.729;6952384.04;Trois Doms;
01137000;LA NOYE À DOMMARTIN (80);656026.629;6967067.07;Noye;
01137100;LA NOYE À LA FALOISE (80);652554.059;6955676.79;Noye;
01137500;LA LUCE À THENNES (80);661284.769;6967982.66;Luce;
01138000;LA SELLE À SALEUX (80);645226.309;6973285.89;Selle ou Somme;
01138100;LA SELLE À MONSURES (80);640078.399;6957004.83;Selle ou Somme;
01138300;LES ÉVOISSONS À BERGICOURT (80);629546.309;6961690.48;Evoissons;
01138500;LA RIVIÈRE DE POIX À FAMECHON (80);630859.989;6962792.63;Rivière de Poix;
01139000;LA NIÈVRE À FLIXECOURT (80);634051.739;6990836.43;Nièvre;
01140500;AIRAINES (RIVIÈRE D') À LONGPRE LES CORPS SAINTS (80);627889.789;6991146.41;Rivière d'Airaines;
01140600;LE SAINT LANDON à SOUES (80);632077.309;6984569.21;Rivière du Saint-Landon;
01140700;LE CANAL DE LANCHERES NORD À LANCHÈRES (80);596546.489;7011762.56;Canal de Lanchère S Nord;
01140900;LE CANAL DE CAYEUX À CAYEUX SUR MER (80);595962.879;7011396.71;Hable d'Ault;
01141000;LE SCARDON À ABBEVILLE (80);616429.009;7002496.44;Novion;
01141100;LA MAYE RIVIÈRE À SAINT QUENTIN EN TOURMONT (80);604620.849;7020368.44;Maye;
01141300;LE CANAL DE LA MAYE À LE CROTOY (80);602626.429;7014665.08;Canal de la Maye;
01145000;LE CANAL DE LA HAUTE COLME À BIERNE (59);657581.759;7097311.47;;
