CdEntiteHydrographique;NomEntiteHydrographique
;
H1220600;ruisseau la fournelle
H1231000;ruisseau la muette
H1235201;la fausse rivière
;
H1233000;ruisseau des quatorze
H1--0200;rivière l'aisne
;
H1234000;ruisseau la loire
H12-4012;canal des ardennes
H12-4012;canal des ardennes
;
H1241300;ruisseau de longwé
H1241000;ruisseau de lametz
;
;
H1246000;ruisseau de saint-lambert
;
H1246000;ruisseau de saint-lambert
H1--0200;rivière l'aisne
;
H1252000;ruisseau la foivre
;
H1252000;ruisseau la foivre
H1252000;ruisseau le migny
H1263000;ruisseau de saulces champenoises
H1263000;ruisseau de saulces champenoises
H1263000;ruisseau de saulces champenoises
;
;
;
;
;
;
H1270600;ruisseau de saulces
H1271350;cours d'eau 01 de la commune d'amagne
H1270600;ruisseau de saulces
H1280700;cours d'eau 01 de la commune de sault-lès-rethel
H1--0200;rivière l'aisne
;
;
H1288000;ruisseau du bourgeron
H13-0400;rivière la vaux
;
;
;
;
;
;
;
H1318000;ruisseau de givron
H1317000;ruisseau la draize
H1318000;ruisseau doumély
;
;
H13-0400;rivière la vaux
;
;
;
H1323000;ruisseau de grimompré
;
H1320600;ruisseau le plumion
H1325000;ruisseau la dyonne
H1325000;ruisseau la dyonne
H1326000;ruisseau de mesmont
H1320600;ruisseau le plumion
H13-0400;rivière la vaux
;
H1--0200;rivière l'aisne
;
H1342000;ruisseau de saint-fergeux
H1342000;ruisseau de saint-fergeux
H1--0200;rivière l'aisne
H1--0200;rivière l'aisne
H1351000;ruisseau de nizy
H1351000;ruisseau de nizy
H1351300;ru du bas bois
H1351000;ruisseau des barres
H1351000;ruisseau des barres
H1351000;ruisseau des barres
;
;
;
;
H1360600;rivière la retourne
H1360600;rivière la retourne
H1362000;ruisseau des pans
H1360600;rivière la retourne
;
;
H1363000;ruisseau le pilot
H1360600;rivière la retourne
H1364000;ruisseau de la wassigneau
;
;
H1360600;rivière la retourne
H1360600;rivière la retourne
;
H1--0200;rivière l'aisne
H1413000;ruisseau de rabassa
H1410600;ruisseau la loivre
H1410600;ruisseau la loivre
H1--0200;rivière l'aisne
;
H1433000;ruisseau de fayau
H1430600;ruisseau la miette
H1444000;ruisseau de beaurepaire
H1448000;ruisseau l'écrevissière
H1452000;ruisseau le tordoir
H1452000;ruisseau le tordoir
;
H1453000;ruisseau de saint-pierre
H1454150;cours d'eau 03 du petit marais
H1456000;ru de vendresse beaulne
H1--0200;rivière l'aisne
H1460900;cours d'eau 01 de la fontaine saint-pierre
H1461100;fond de boulancourt
;
H1--0200;rivière l'aisne
H1--0200;rivière l'aisne
H1600650;cours d'eau 01 du marais maudit
H1601100;ru preux
H1601100;ru preux
H1--0200;rivière l'aisne
H1605000;ruisseau la jocienne
H1605000;ruisseau la jocienne
H1604701;bras de la jocienne
H1610600;rivière la crise
H1611550;ru de visigneux
H1610900;ru de violaine
;
;
;
H1--0200;rivière l'aisne
H1620700;cours d'eau 01 de la robinette roland
H1620700;cours d'eau 01 de la robinette roland
H1624000;ru de fouquerolles
H1623000;ruisseau de juvigny
;
H1633000;ru de saint-pierre-aigle
H1630600;ru de saint-pierre-aigle
H1630600;ru de retz
;
H1--0200;rivière l'aisne
H1--0200;rivière l'aisne
;
H1650600;ru d'hozien
H1651150;ru de vassens
;
;
;
H1650600;ru d'hozien
H1660750;ru de bourbout
H1662000;ru de bitry
;
H1--0200;rivière l'aisne
H1662100;ru de milleville
H1--0200;rivière l'aisne
H1673200;cours d'eau 02 de la rouillée
H1670600;ru de vandy
H1670600;ru de vandy
H1--0200;rivière l'aisne
H1683000;ruisseau le fourchon
H1684000;ru de berne
;
H1684000;ru de berne
;
;
H1--0200;rivière l'aisne
H11-0400;rivière l'aire
H1174000;ruisseau de saint-georges
H1103000;ruisseau de lavallée
H1104500;ruisseau de belrain
H1105600;le ru
;
;
;
;
;
H1110600;ruisseau l'ezrule
H1110600;ruisseau l'ezrule
;
H11-0400;rivière l'aire
H11-0400;rivière l'aire
H1121000;ruisseau le bouvrot
;
;
;
H1123000;ruisseau bunet
H11-0400;rivière l'aire
H1123500;ruisseau de deuxnouds
;
;
H1128000;ruisseau le rupt
H1124500;ruisseau de flabussieux
;
H1133000;ruisseau du fays
;
;
;
;
H1135000;rivière la vadelaincourt
;
;
H1130600;rivière la cousances
;
H1136000;ruisseau des neuves fontaines
H11-0400;rivière l'aire
H11-0400;rivière l'aire
;
;
H1150600;rivière la buante
H11-0400;rivière l'aire
H1161000;ruisseau le vervaux
H1163500;ruisseau d'exermont
;
;
;
H1170600;rivière l'agron
;
H1173000;ruisseau du wassieux
;
;
;
H1176000;ruisseau de briquenay
;
H1170600;rivière l'agron
;
H1181000;la louvrière
H1181001;rivière l'aire
H11-0400;rivière l'aire
;
;
H1183000;ruisseau de talma
;
;
;
;
H13-0410;rivière la suippe
H13-0410;rivière la suippe
;
;
;
;
H1381000;ruisseau l'ain
H13-0410;rivière la suippe
;
H13-0410;rivière la suippe
;
H1382000;rivière la py
H1382000;rivière la py
H13-0410;rivière la suippe
;
H1383000;rivière l'arnes
H13-0410;rivière la suippe
H13-0410;rivière la suippe
H13-0410;rivière la suippe
;
H1391000;ruisseau d'époye
H1392000;ruisseau d'aussonce
H13-0410;rivière la suippe
H13-0410;rivière la suippe
;
H13-0410;rivière la suippe
H13-0410;rivière la suippe
;
H1501000;ruisseau la cassine
H15-0400;rivière la vesle
H1510600;rivière la noblette
;
;
H1510600;rivière la noblette
H15-0400;rivière la vesle
H1524000;ruisseau le cheneu
;
H1530600;ruisseau la prosne
;
H15-0400;rivière la vesle
H1530600;ruisseau la prosne
H1541200;noue de rilly
;
;
H15-0400;rivière la vesle
H1542000;ruisseau le rouillat
;
;
;
H15-0400;rivière la vesle
H15-0400;rivière la vesle
H15-0400;rivière la vesle
H1551000;ruisseau le cochot
H15-0400;rivière la vesle
;
H1554000;cours d'eau 01 du clos
H1555000;ruisseau du moulin
H15-0400;rivière la vesle
H15-0400;rivière la vesle
H15-0420;rivière l'ardre
;
H1561000;ruisseau des iselles
H15-0420;rivière l'ardre
H1566000;ruisseau du parc
H1568000;ruisseau le noron
;
H15-0420;rivière l'ardre
;
H1575000;ruisseau de brouillet
H1576000;ruisseau d'arcis-le-ponsart
;
;
;
;
H1578000;rivière l'orillon
H15-0420;rivière l'ardre
H15-0400;rivière la vesle
H1584600;ruisseau le murton
H1584000;ruisseau la muze
H1584600;ruisseau le murton
H1584000;ruisseau la muze
H15-0400;rivière la vesle
;
H1585000;rivière la vesle
H15-0400;rivière la vesle
;
H20-0420;rivière la brèche
H20-0420;rivière la brèche
H20-0420;rivière la brèche
H20-0420;rivière la brèche
;
;
H20-0420;rivière la brèche
H20-0420;rivière la brèche
H20-0420;rivière la brèche
;
H2060600;rivière l'arré
H2060600;rivière l'arré
;
;
H2060600;rivière l'arré
H2071000;ru de la garde
H2071000;ru de la garde
H2073000;ruisseau la béronnelle
H2073000;ruisseau la béronnelle
H20-0420;rivière la brèche
H2075101;rivière la brèche
H20-0420;rivière la brèche
H20-0420;rivière la brèche
;
H2073000;ruisseau la béronnelle
H2073000;ruisseau la béronnelle
H20-0420;rivière la brèche
;
H20-0420;rivière la brèche
;
H20-0420;rivière la brèche
;
H21-0400;rivière le thérain
;
H21-0400;rivière le thérain
;
H21-0400;rivière le thérain
H21-0400;rivière le thérain
H2110600;rivière le petit thérain
;
H2110600;rivière le petit thérain
H2112000;ru de l'herboval
H2110600;rivière le petit thérain
;
H2114000;ruisseau de l'herperie
H2110600;rivière le petit thérain
;
H2110600;rivière le petit thérain
H21-0400;rivière le thérain
;
H2126000;la liovette
H2130600;rivière l'avelon
H2134000;ru des martaudes
H2130600;rivière l'avelon
H2131000;ruisseau des raques
;
H2138000;ruisseau le moulinet
H2130600;rivière l'avelon
;
H2139000;ru d'auneuil
;
H2139000;ru d'auneuil
;
H2130600;rivière l'avelon
;
H21-0400;rivière le thérain
H21-0400;rivière le thérain
H21-0400;rivière le thérain
;
;
H2142000;ru de berneuil
H2142000;ru de berneuil
H21-0400;rivière le thérain
;
;
;
H2143000;fossé d'orgueil
;
H2144000;ruisseau la laversines
H21-0400;rivière le thérain
;
H2144000;ruisseau la laversines
H21-0400;rivière le thérain
H21-0400;rivière le thérain
H2146000;ruisseau la trye
H2146000;ruisseau la trye
;
H21-0400;rivière le thérain
;
;
;
;
;
H2148000;ruisseau le sillet
H2148000;ruisseau le sillet
H2148000;ruisseau le sillet
;
H2152000;ru de lombardie
;
H21-0400;rivière le thérain
H21-0400;rivière le thérain
H2153000;ruisseau le moineau
H21-0400;rivière le thérain
;
;
;
;
;
H2156000;ruisseau de cires
H2156000;ruisseau de cires
H21-0400;rivière le thérain
;
H21-0400;rivière le thérain
H21-0400;rivière le thérain
H21-0400;rivière le thérain
H21-0400;rivière le thérain
;
H2269000;ruisseau le sausseron
H2269000;ruisseau le sausseron
;
H2269200;ravin de theuville
;
;
H2269200;ravin de theuville
H2269000;ruisseau le sausseron
;
;
;
;
H2269400;ru de frouville
;
;
H2269000;ruisseau le sausseron
;
;
H2269000;ruisseau le sausseron
;
H22-0400;rivière la nonette
H22-0400;rivière la nonette
H2214000;ruisseau de coulery
H22-0400;rivière la nonette
;
;
H22-0400;rivière la nonette
H2218000;rivière la launette
H2218450;cours d'eau 03 de la commune d'eve
;
H2218000;rivière la launette
;
H2218000;rivière la launette
;
H22-0400;rivière la nonette
;
H22-0400;rivière la nonette
;
;
H2225000;rivière l'aunette
;
H2225000;rivière l'aunette
H22-0400;rivière la nonette
H22-0400;rivière la nonette
H22-0400;rivière la nonette
H22-0400;rivière la nonette
;
H22-0400;rivière la nonette
;
H30-0400;ruisseau la mauldre
H30-0400;ruisseau la mauldre
;
H3033600;ru de maurepas
H3033000;ru d'élancourt
H3033000;ru d'élancourt
;
H30-0400;ru d'élancourt
H3039400;ruisseau le guyon
H3039100;ruisseau la guyonne
;
H3039100;ruisseau la guyonne
;
H3038000;ruisseau du lieutel
H3038300;ru du breuil
;
H3038300;ru de breuil
;
H3038000;ruisseau du lieutel
;
;
;
H3038000;ruisseau du lieutel
H30-0400;rivière la mauldre
;
;
;
;
;
;
;
H30-0400;rivière la mauldre
H30-0400;rivière la mauldre
H30-0400;rivière la mauldre
;
;
H3052000;ru de gally
;
H30-0400;rivière la mauldre
H30-0400;rivière la mauldre
H3052000;ru de gally
;
H3052000;ru de gally
;
;
H3070600;rivière la vaucouleurs
H3072000;ru d'ouville
;
H3070600;rivière la vaucouleurs
H3070600;rivière la vaucouleurs
;
H3074000;rivière la flexanville
;
H3074000;rivière la flexanville
;
;
H3070600;rivière la vaucouleurs
H3075150;ru morand
;
;
;
H3070600;rivière la vaucouleurs
H3070600;rivière la vaucouleurs
H3200650;cours d'eau 06 de la commune de blaru
;
;
H3209000;ruisseau de saint-ouen
H3211000;ruisseau sainte-geneviève
;
----0010;fleuve la seine
;
;
;
;
;
----0010;fleuve la seine
H3213000;ru du canal
----0010;fleuve la seine
;
;
----0010;fleuve la seine
----0010;fleuve la seine
;
----0010;fleuve la seine
----0010;fleuve la seine
----0010;fleuve la seine
H31-0400;rivière l'epte
;
;
;
;
H31-0400;rivière l'epte
H31-0400;rivière l'epte
H31-0400;rivière l'epte
H3107000;ruisseau d'halescourt
H31-0400;rivière l'epte
;
H3109000;rivière de mésangueville
;
H3109000;rivière de mésangueville
H3110650;fossé 02 de la commune de gancourt-saint-etienne
H31-0400;rivière l'epte
H3112000;ruisseau des rieux
;
H3113000;rivière la morette
H31-0400;rivière l'epte
H3114000;ruisseau de la fontaine liard
H3114000;ruisseau d'auchy
;
;
H3114000;ruisseau d'auchy
H31-0400;rivière l'epte
H31-0400;rivière l'epte
H3119000;ruisseau de goulancourt
H31-0400;rivière l'epte
H31-0400;rivière l'epte
H31-0400;rivière l'epte
H31-0400;rivière l'epte
;
H31-0400;rivière l'epte
;
H31-0400;rivière l'epte
H31-0400;rivière l'epte
H3131000;ruisseau le merdron
H3132000;ru de pouilly
;
H3134000;ru du mesnil
;
H3130600;canal de marquemont
H3134250;cours d'eau 01 de la commune de loconville
;
H3135000;ru du moulinet
;
H3130600;rivière la troësne
H3136000;ruisseau l'aunette
;
;
H3130600;rivière la troësne
H3130600;rivière la troësne
H3130600;rivière la troësne
;
H3141000;ruisseau le réveillon
H3141000;ruisseau le réveillon
H3141000;ruisseau le réveillon
H31-0400;ruisseau le réveillon
H31-0400;rivière l'epte
;
H3150600;rivière la lévrière
H3150600;rivière la lévrière
H3150650;fossé 01 de la commune de sancourt
H3150600;rivière la lévrière
H3158000;rivière la bonde
H3158000;rivière la bonde
H3150600;rivière la lévrière
H3150600;rivière la lévrière
H31-0400;rivière l'epte
H3161000;ruisseau d'hérouval
;
;
;
;
H3163000;ruisseau le cudron
;
;
;
;
;
;
H3170600;rivière l'aubette
;
H3170600;rivière l'aubette
;
H3171100;cours d'eau 01 de la commune de genainville
H3170600;rivière l'aubette
;
H3170600;rivière l'aubette
H3181000;ru de chaussy
;
H31-0400;rivière l'epte
;
;
;
;
H31-0400;rivière l'epte
;
H32-0400;rivière l'andelle
H3233000;ruisseau des viviers
H32-0400;rivière l'andelle
H32-0400;rivière l'andelle
;
H32-0400;rivière l'andelle
H3235000;ruisseau la roulée
H3236000;ruisseau de bièvredent
;
H32-0400;rivière l'andelle
;
;
H3239000;rivière l'héronchelles
H3239000;rivière le héron
H3239000;rivière le héron
;
;
;
;
H3249000;rivière le crevon
H3249000;rivière le crevon
;
H32-0400;rivière l'andelle
;
H32-0400;rivière l'andelle
H32-0400;rivière l'andelle
H3259000;rivière la lieure
H3259500;ruisseau le fouillebroc
;
;
;
H3259500;ruisseau le fouillebroc
H3259000;rivière la lieure
H3259000;rivière la lieure
H32-0400;rivière l'andelle
H32-0400;rivière l'andelle
;
;
;
;
;
;
H32-0400;rivière l'andelle
H3219000;ruisseau le gambon
H3219001;ruisseau le gambon
H5009000;rivière l'oison
H5009000;rivière l'oison
H5009000;rivière l'oison
H5009000;rivière l'oison
;
H5009000;le grand ravin
H5009000;le grand ravin
;
;
H5011000;fossé 01 de la commune de elbeuf
;
;
;
----0010;fleuve la seine
;
----0010;fleuve la seine
----0010;fleuve la seine
;
----0010;fleuve la seine
;
;
----0010;fleuve la seine
----0010;fleuve la seine
----0010;fleuve la seine
----0010;fleuve la seine
----0010;fleuve la seine
;
----0010;fleuve la seine
;
H5125000;ruisseau le hannetot
H5125000;ruisseau le hannetot
----0010;fleuve la seine
----0010;fleuve la seine
H5129000;ruisseau le theluet
H5129000;ruisseau le theluet
H5129000;ruisseau le theluet
;
;
;
;
H5147000;rivière la brouisseresse
;
;
;
;
;
H5147000;rivière la brouisseresse
;
----0010;fleuve la seine
;
;
;
;
H7305000;rivière d'oudalle
H7306000;rivière le rogerval
;
;
;
H4018000;ruisseau de l'ancien étang de pot de vin
;
;
;
H4--0200;rivière l'eure
;
;
;
H4010600;ruisseau le livier
H4--0200;rivière l'eure
;
;
;
;
;
H4--0200;rivière l'eure
;
H4049000;ruisseau le coinon
;
;
;
;
;
H4--0200;rivière l'eure
;
;
;
;
;
;
H4--0200;rivière l'eure
H4--0200;rivière l'eure
;
H4--0200;rivière l'eure
;
H4053000;ruisseau la roguenette
H4053000;ruisseau la roguenette
H4053000;ruisseau la roguenette
;
;
H4053000;ruisseau la roguenette
H4--0200;rivière l'eure
;
;
H4--0200;rivière l'eure
;
;
;
;
H40-0400;rivière la voise
H40-0400;rivière la voise
H4061000;vallée aux cailles
;
H4064000;rivière l'aunay
;
;
;
H4064000;rivière l'aunay
;
H40-0400;rivière la voise
H4070600;ruisseau le perray
;
;
H4070600;ruisseau la poivrette
H4083000;ruisseau d'ocre
H40-0400;rivière la voise
H40-0400;rivière la voise
;
;
;
;
H40-0400;rivière la voise
;
H4084000;ruisseau de gas
H4101000;ruisseau de la fontaine
;
;
H41-0400;rivière la drouette
;
H4116000;rivière la guéville
H4116000;rivière la guéville
;
H4120600;rivière la guesle
H4120600;rivière la guesle
H4131000;ruisseau d'houdreville
;
H41-0400;rivière la drouette
;
;
H4141000;ruisseau de vacheresses
;
H4150600;rivière la maltorne
H4157000;ruisseau de beaudeval
;
;
H4--0200;rivière l'eure
;
;
H4--0200;rivière l'eure
;
H4--0200;rivière l'eure
H4--0200;rivière l'eure
;
;
H4--0200;rivière l'eure
;
;
;
;
;
;
H42-0410;rivière la vesgre
;
;
;
H42-0410;rivière la vesgre
;
;
H4275500;ruisseau le sausseron
;
;
;
H4279000;ruisseau l'opton
;
H42-0410;rivière la vesgre
H42-0410;rivière la vesgre
;
;
H42-0410;rivière la vesgre
;
;
H4--0200;rivière l'eure
H4309000;ruisseau le radon
H4309000;ruisseau le radon
;
;
H4--0200;rivière l'eure
;
;
H4--0200;rivière l'eure
H4319000;ru gironde
;
;
H4317000;le ru
H4318000;cours d'eau 01 de l'aulnaie
H4--0200;rivière l'eure
H4--0200;rivière l'eure
;
;
;
;
;
H4380700;cours d'eau 01 du ravin de becdal
H4--0200;rivière l'eure
H4--0200;rivière l'eure
H4--0200;rivière l'eure
;
;
H4--0200;rivière l'eure
H4--0200;rivière l'eure
;
H4173000;ruisseau de saint-cyr
H4179000;ruisseau de saint-martin
H4179000;ruisseau de saint-martin
H41-0410;rivière la blaise
H41-0410;rivière la blaise
;
;
;
;
H41-0410;rivière la blaise
;
;
H41-0410;bras des châtelets
;
H4189801;bras de l'écluse
H41-0410;bras des châtelets
;
H42-0400;rivière l'avre
H42-0400;rivière l'avre
H4212000;rivière de saint-maurice
;
H42-0400;rivière l'avre
H42-0400;rivière l'avre
;
;
;
;
;
;
H42-0400;rivière l'avre
H4220600;ruisseau du buternay
H4220600;ruisseau de lamblore
H4220600;ruisseau de lamblore
;
H42-0400;rivière l'avre
;
H42-0400;rivière l'avre
H4240600;rivière la meuvette
H4245000;ruisseau la gervaine
;
;
;
;
H4240600;rivière la meuvette
H42-0400;rivière l'avre
H42-0400;rivière l'avre
H42-0400;rivière l'avre
;
;
;
H42-0400;rivière l'avre
;
;
;
;
;
H42-0400;rivière l'avre
H4257000;ruisseau la coudanne
H4257000;ruisseau la coudanne
;
H43-0400;rivière l'iton
;
H43-0400;rivière l'iton
H43-0400;rivière l'iton
;
;
;
;
H43-0400;rivière l'iton
;
H43-0400;rivière l'iton
H43-0400;rivière l'iton
H43-0400;rivière l'iton
H43-0400;rivière l'iton
;
H4360600;ruisseau le rouloir
H4360600;ruisseau le rouloir
;
H4360600;ruisseau le rouloir
;
H43-0400;rivière l'iton
;
H43-0400;rivière l'iton
;
;
;
;
H43-0400;rivière l'iton
;
H4372501;rivière l'iton
;
H43-0400;rivière l'iton
;
;
H43-0400;rivière l'iton
;
;
;
;
H43-0400;rivière l'iton
H43-0400;rivière l'iton
;
;
;
;
H5028000;rivière le robec
;
;
;
H5028000;rivière le robec
H5028000;rivière le robec
;
H5020600;rivière l'aubette
H5020600;rivière l'aubette
;
H5029001;bras de l'aubette
;
;
;
H5020600;rivière l'aubette
;
;
;
;
;
;
H5040600;rivière le cailly
;
;
H5040600;rivière le cailly
;
;
H5041000;rivière la clérette
H5040600;rivière le cailly
;
;
;
;
;
;
;
;
;
;
H5041000;rivière la clérette
;
H5041000;rivière la clérette
H5042601;rivière le cailly
;
H5040600;rivière le cailly
;
H5040600;rivière le cailly
;
H5040600;rivière le cailly
;
;
;
H5040600;rivière le cailly
;
;
;
H5061000;ruisseau la saffimbec
;
;
H5060600;rivière l'austreberthe
H5060600;rivière l'austreberthe
H5060600;rivière l'austreberthe
;
H5060600;ruisseau sainte-austreberthe
;
;
;
;
H5111000;ruisseau la rançon
H5111000;ruisseau la rançon
;
H5111500;ruisseau la fontenelle
;
H5111500;ruisseau la fontenelle
H5119000;rivière sainte-gertrude
;
H5119000;rivière sainte-gertrude
H5112001;bras de sainte-gertrude
H5119500;ruisseau l'ambion
H5119000;rivière sainte-gertrude
;
;
;
;
;
;
;
H5130600;rivière de bolbec
;
;
H5130600;rivière de bolbec
H5130600;rivière noire
H5131100;cours d'eau 02 de la commune de lillebonne
H5131100;cours d'eau 02 de la commune de lillebonne
H5131100;cours d'eau 02 de la commune de lillebonne
H5131100;cours d'eau 02 de la commune de lillebonne
;
H5131000;rivière des aulnes
H5131000;rivière des aulnes
;
H5130600;rivière du commerce
H5130600;rivière du commerce
;
H5135001;bras du commerce
;
;
H5130600;rivière du commerce
H5130600;rivière du commerce
;
G01-0400;fleuve la bresle
;
;
;
;
;
G01-0400;fleuve la bresle
;
;
;
;
;
;
G01-0400;fleuve la bresle
G01-0400;fleuve la bresle
;
G0120600;ruisseau la méline
;
;
G01-0400;fleuve la bresle
;
G01-0400;fleuve la bresle
;
G0140600;ruisseau le liger
G0140600;ruisseau le liger
G0140600;ruisseau le liger
;
;
;
;
;
;
;
;
G0152101;bras de la bresle
G01-0400;fleuve la bresle
;
;
G01-0400;fleuve la bresle
G0155001;ruisseau le bras blanc
;
;
;
;
;
G0160600;rivière la vimeuse
G0160600;rivière la vimeuse
G0160600;rivière la vimeuse
G01-0400;fleuve la bresle
;
G01-0400;fleuve la bresle
;
;
;
G01-0400;fleuve la bresle
G01-0400;fleuve la bresle
;
;
;
;
G01-0400;fleuve la bresle
G01-0400;fleuve la bresle
;
G0172501;fleuve la bresle
G01-0400;fleuve la bresle
G01-0400;retenue des chasses
G11-0400;fleuve l'yères
G11-0400;fleuve l'yères
;
G1109000;ruisseau le douet
G11-0400;fleuve l'yères
;
G11-0400;fleuve l'yères
;
;
;
;
;
;
G11-0400;fleuve l'yères
;
;
;
G11-0400;fleuve l'yères
G11-0400;fleuve l'yères
;
;
;
;
G11-0400;fleuve l'yères
G2--0200;rivière la béthune
G2--0200;rivière la béthune
;
;
;
G2--0200;rivière la béthune
;
;
G2011100;cours d'eau 01 de la commune de beaussault
;
;
;
G2020600;ruisseau le sorson
;
G2--0200;rivière la béthune
;
;
G2040600;ruisseau la canche
G2--0200;rivière la béthune
G2051000;ruisseau le philbert
;
G2--0200;rivière la béthune
;
G2--0200;rivière la béthune
;
G2--0200;rivière la béthune
G2--0200;rivière la béthune
;
;
;
G2059000;ruisseau de bully
;
;
G2--0200;rivière la béthune
G2--0200;rivière la béthune
;
G2--0200;rivière la béthune
;
G2065901;rivière la béthune
;
G2--0200;rivière la béthune
;
G2--0200;rivière la béthune
G2--0200;rivière la béthune
;
G2100600;rivière la varenne
;
G2100600;rivière la varenne
G2100600;rivière la varenne
G2100600;rivière la varenne
;
G2100600;rivière la varenne
;
;
;
G2100600;rivière la varenne
G2100600;rivière la varenne
G2101000;ruisseau le hareng
;
;
G2100600;rivière la varenne
;
;
G2100600;rivière la varenne
;
G2102501;rivière la varenne
;
G2101050;fossé du fond de meuse
;
;
G2100600;rivière la varenne
G2100600;rivière la varenne
G2100600;rivière la varenne
G22-0400;rivière l'eaulne
G22-0400;rivière l'eaulne
G2211200;cours d'eau 05 du moulin
G22-0400;rivière l'eaulne
G22-0400;rivière l'eaulne
G2211850;cours d'eau 01 de la commune des londinières
G22-0400;rivière l'eaulne
G22-0400;rivière l'eaulne
;
G22-0400;rivière l'eaulne
G2220600;ruisseau le bailly-bec
G2220600;ruisseau le bailly-bec
G2220600;ruisseau le bailly-bec
G22-0400;rivière l'eaulne
;
G2230650;cours d'eau 01 des annettes
;
;
;
G22-0400;rivière l'eaulne
;
G2--0200;fleuve l'arques
G2--0200;fleuve l'arques
;
G2--0200;fleuve l'arques
G2--0200;fleuve l'arques
G3100600;fleuve la scie
G3100600;fleuve la scie
G3100600;fleuve la scie
;
;
G3100600;fleuve la scie
;
G3100600;fleuve la scie
;
;
G3100600;fleuve la scie
;
;
G3100600;fleuve la scie
G4--0200;fleuve la saâne
;
G4--0200;fleuve la saâne
G4001000;ruisseau le traversin
G4--0200;fleuve la saâne
;
;
G4--0200;fleuve la saâne
G4100600;rivière la vienne
G4100600;rivière la vienne
G4--0200;fleuve la saâne
G4--0200;fleuve la saâne
G4--0200;fleuve la saâne
;
;
;
G5100600;fleuve le dun
G5100600;fleuve le dun
G5100600;fleuve le dun
;
G5100600;fleuve le dun
;
G5204000;fleuve la veules
;
G6000600;fleuve la durdent
;
G6000600;fleuve la durdent
;
;
;
;
G6000600;fleuve la durdent
;
;
G6000600;fleuve la durdent
;
;
;
;
;
;
G6000600;fleuve la durdent
;
;
G6000600;fleuve la durdent
G6000600;fleuve la durdent
;
;
;
;
;
;
G6000600;fleuve la durdent
;
;
G6000600;fleuve la durdent
;
G7000700;rivière de valmont
;
G7--0200;rivière de valmont
;
;
G7000701;rivière de valmont
;
G7--0200;rivière de valmont
G7100600;ruisseau de ganzeville
G7100600;ruisseau de ganzeville
G7100600;ruisseau de ganzeville
;
G7100600;ruisseau de ganzeville
G7--0200;rivière de valmont
G7--0200;rivière de valmont
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
;
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H7320600;ru de la clinarderie
H7320600;ru de la clinarderie
H73-0400;rivière la lézarde
;
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H7340600;rivière de fontaine
;
;
H7340600;rivière de fontaine
H7340600;rivière de fontaine
H7340600;rivière de fontaine
;
H7340600;rivière de fontaine
H7340600;rivière de fontaine
H7340600;rivière de fontaine
;
H7360600;rivière de saint-laurent
H7360600;rivière de saint-laurent
;
H7360600;rivière de saint-laurent
H7360600;rivière de saint-laurent
H7360600;rivière de saint-laurent
;
H73-0400;rivière la lézarde
H73-0400;rivière la lézarde
H6--0200;rivière la risle
;
;
H6008000;ruisseau du vauferment
H6009000;ruisseau du gué maingot
H6--0200;rivière la risle
H6--0200;rivière la risle
H6--0200;rivière la risle
H6017000;rivière l'aubette
;
;
H6019000;ruisseau de livet
H6--0200;rivière la risle
H6--0200;rivière la risle
H6024000;ruisseau du gru
H6--0200;rivière la risle
H6--0200;rivière la risle
;
H6029000;ruisseau le godet
H6--0200;rivière la risle
H6--0200;rivière la risle
;
H6--0200;rivière la risle
H6--0200;rivière la risle
H6040600;ruisseau le sommaire
H6--0200;rivière la risle
H6--0200;rivière la risle
H6--0200;rivière la risle
H6--0200;rivière la risle
;
;
H6061000;rivière la bave
H6061000;rivière la bave
H6061000;rivière la bave
H6065101;ruisseau la georgette
H6--0200;rivière la risle
H6069701;rivière la risle
H6--0200;rivière la risle
H6--0200;rivière la risle
H6--0200;rivière la risle
H6200650;cours d'eau 02 de la commune de fontaine-la-soret
H6200700;cours d'eau 01 de la commune de brionne
;
H6210600;ruisseau de la croix blanche
H6210600;ruisseau de la croix blanche
;
;
H6229000;ruisseau du bec
H6234000;ruisseau le clérot
H6234000;ruisseau le clérot
H6234000;ruisseau le clérot
H6234000;ruisseau le clérot
H6--0200;rivière la risle
H6--0200;rivière la risle
H6234050;cours d'eau 01 de la commune d'appeville-annebault
H6236000;ruisseau saint-christophe
H6236000;ruisseau saint-christophe
;
H6234100;ruisseau la bédard
;
H6--0200;rivière la risle
H6239801;canal des moulins rivière
H6--0200;rivière la risle
;
H6249000;rivière la véronne
H6249000;rivière la véronne
H6249000;rivière la véronne
;
;
H6254600;ruisseau de sébec
H6254000;ruisseau de tourville
H6--0200;rivière la risle
;
H6265000;ruisseau du val jouen
;
H6266000;ruisseau des godeliers
;
H6266000;ruisseau des godeliers
;
;
;
H6260600;ruisseau de la corbie
;
H6--0200;rivière la risle
H6270650;cours d'eau 01 de la commune de boulleville
H6103000;ruisseau de bréquigny
;
;
;
H6104000;rivière de touquettes
H61-0400;rivière la charentonne
;
